HH1,HH2,HH6,HH7,WS1,WS11,windex5,HH48
1.0,1.0,1.0,1.0,21.0,12.0,5.0,1.0
1.0,2.0,1.0,1.0,91.0,12.0,5.0,4.0
1.0,3.0,1.0,1.0,21.0,12.0,5.0,1.0
1.0,4.0,1.0,1.0,31.0,12.0,4.0,1.0
1.0,5.0,1.0,1.0,32.0,12.0,4.0,5.0
1.0,6.0,1.0,1.0,21.0,12.0,5.0,3.0
1.0,7.0,1.0,1.0,32.0,12.0,4.0,5.0
1.0,8.0,1.0,1.0,14.0,22.0,3.0,1.0
1.0,9.0,1.0,1.0,31.0,12.0,5.0,5.0
1.0,10.0,1.0,1.0,21.0,12.0,5.0,5.0
1.0,11.0,1.0,1.0,31.0,13.0,5.0,1.0
1.0,12.0,1.0,1.0,13.0,12.0,5.0,10.0
1.0,13.0,1.0,1.0,21.0,12.0,5.0,2.0
1.0,14.0,1.0,1.0,13.0,22.0,5.0,11.0
1.0,15.0,1.0,1.0,92.0,22.0,4.0,2.0
1.0,16.0,1.0,1.0,,,,
1.0,17.0,1.0,1.0,13.0,21.0,4.0,1.0
1.0,18.0,1.0,1.0,13.0,23.0,4.0,6.0
1.0,19.0,1.0,1.0,12.0,12.0,5.0,1.0
1.0,20.0,1.0,1.0,21.0,12.0,5.0,1.0
2.0,1.0,1.0,1.0,21.0,23.0,4.0,4.0
2.0,2.0,1.0,1.0,31.0,22.0,4.0,2.0
2.0,3.0,1.0,1.0,32.0,22.0,4.0,6.0
2.0,4.0,1.0,1.0,32.0,23.0,4.0,4.0
2.0,5.0,1.0,1.0,31.0,22.0,4.0,4.0
2.0,6.0,1.0,1.0,31.0,22.0,4.0,5.0
2.0,7.0,1.0,1.0,32.0,22.0,3.0,3.0
2.0,8.0,1.0,1.0,32.0,12.0,4.0,1.0
2.0,9.0,1.0,1.0,21.0,22.0,4.0,1.0
2.0,10.0,1.0,1.0,21.0,12.0,4.0,2.0
2.0,11.0,1.0,1.0,32.0,22.0,4.0,10.0
2.0,12.0,1.0,1.0,31.0,22.0,5.0,7.0
2.0,13.0,1.0,1.0,21.0,22.0,4.0,6.0
2.0,14.0,1.0,1.0,21.0,12.0,5.0,4.0
2.0,15.0,1.0,1.0,31.0,12.0,5.0,2.0
2.0,16.0,1.0,1.0,32.0,22.0,5.0,5.0
2.0,17.0,1.0,1.0,12.0,22.0,4.0,5.0
2.0,18.0,1.0,1.0,21.0,18.0,3.0,2.0
2.0,19.0,1.0,1.0,21.0,22.0,4.0,2.0
2.0,20.0,1.0,1.0,21.0,22.0,5.0,3.0
3.0,1.0,1.0,1.0,14.0,23.0,3.0,3.0
3.0,2.0,1.0,1.0,21.0,22.0,5.0,8.0
3.0,3.0,1.0,1.0,14.0,95.0,4.0,6.0
3.0,4.0,1.0,1.0,,,,
3.0,5.0,1.0,1.0,14.0,22.0,3.0,1.0
3.0,6.0,1.0,1.0,21.0,22.0,4.0,3.0
3.0,7.0,1.0,1.0,,,,
3.0,8.0,1.0,1.0,14.0,95.0,3.0,5.0
3.0,9.0,1.0,1.0,31.0,22.0,3.0,1.0
3.0,10.0,1.0,1.0,21.0,22.0,3.0,1.0
3.0,11.0,1.0,1.0,14.0,12.0,4.0,5.0
3.0,12.0,1.0,1.0,21.0,95.0,3.0,5.0
3.0,13.0,1.0,1.0,14.0,95.0,3.0,2.0
3.0,14.0,1.0,1.0,14.0,22.0,3.0,1.0
3.0,15.0,1.0,1.0,,,,
3.0,16.0,1.0,1.0,14.0,22.0,4.0,1.0
3.0,17.0,1.0,1.0,14.0,22.0,3.0,4.0
3.0,18.0,1.0,1.0,21.0,96.0,4.0,8.0
3.0,19.0,1.0,1.0,,,,
3.0,20.0,1.0,1.0,21.0,12.0,3.0,1.0
4.0,1.0,1.0,1.0,12.0,12.0,5.0,9.0
4.0,2.0,1.0,1.0,14.0,22.0,4.0,5.0
4.0,3.0,1.0,1.0,13.0,12.0,5.0,6.0
4.0,4.0,1.0,1.0,,,,
4.0,5.0,1.0,1.0,21.0,23.0,4.0,6.0
4.0,6.0,1.0,1.0,14.0,12.0,5.0,7.0
4.0,7.0,1.0,1.0,21.0,22.0,4.0,8.0
4.0,8.0,1.0,1.0,11.0,12.0,5.0,8.0
4.0,9.0,1.0,1.0,12.0,12.0,5.0,4.0
4.0,10.0,1.0,1.0,12.0,12.0,5.0,3.0
4.0,11.0,1.0,1.0,14.0,95.0,4.0,6.0
